GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.payments.service,PaymentGateway.GatewayVerification,0,9,0,0,0,1,0,1,0,1
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.payments.service,PaymentService,5,174,3,15,0,23,4,12,1,6
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.payments.service,PaymentGateway.GatewayCheckout,0,9,0,0,0,1,0,1,0,1
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.payments.service,PaymentGateway.GatewayStatus,0,21,0,0,0,1,0,1,0,1
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.projects.service.impl,ProjectServiceImpl,112,551,17,29,13,109,27,37,11,30
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.identity.service.impl,IdentityServiceImpl,12,270,4,10,2,47,5,21,1,18
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.administration.service,AdministrationService,0,80,1,3,0,7,1,8,0,7
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.administration.service,FeatureFlagService,0,44,0,0,0,6,0,5,0,5
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.administration.service,AuditService,0,39,1,3,0,4,1,4,0,3
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.groups.service.impl,GroupServiceImpl,60,268,16,15,10,51,18,20,4,18
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.opportunities.service.impl,OpportunityServiceImpl,16,129,3,5,0,21,3,10,0,9
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.privacy.service,PrivacyService,0,107,0,0,0,10,0,6,0,6
NEXUS HUB Model,br.ufpb.dsc.nexushub.model.people.service.impl,HumanServiceImpl,0,83,0,0,0,16,0,7,0,7
